"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Own"
"Austin Brice","MIA","RP","33.3","29","0","0","1","4.90","1.39","18","35","12","4","28","2","2","0%"
"Pierce Johnson","SF","RP","37.0","37","0","0","1","4.64","1.48","19","35","20","5","33","2","2","0%"
"Adrian Houser","MIL","RP","42.2","34","0","0","1","4.70","1.45","22","45","16","7","24","2","2","0%"
"Joe Palumbo","TEX","SP,RP","30.3","25","0","0","1","4.76","1.48","16","32","13","6","13","2","2","0%"
"Adam McCreery","LAD","SP,RP","33.4","36","0","0","1","4.23","1.61","16","30","24","3","29","2","2","0%"
"Jake Barrett","PIT","RP","28.9","29","1","0","1","4.48","1.47","14","28","15","4","32","1","2","0%"
"Corey Oswalt","NYM","SP,RP","44.3","34","0","0","1","5.09","1.41","25","47","16","9","11","2","3","0%"
"Sam Wolff","SF","RP","22.4","24","0","0","1","4.33","1.49","11","20","13","4","20","1","2","0%"
"Scott Barlow","KC","SP,RP","43.7","42","0","0","1","4.88","1.51","24","44","22","6","19","2","3","0%"
"Drew Anderson","PHI","SP,RP","35.3","30","0","0","1","5.19","1.44","20","38","13","7","13","2","2","0%"
"Jake Thompson","","SP,RP","56.6","45","0","0","1","4.96","1.50","31","58","27","12","21","3","4","0%"
"Clay Holmes","PIT","SP,RP","41.2","36","0","0","1","4.58","1.59","21","42","24","5","21","2","2","0%"
"Zack Burdi","CWS","RP","19.5","23","0","0","1","4.52","1.50","10","17","12","3","19","1","2","0%"
"Dillon Maples","CHC","RP","23.6","35","0","0","1","4.14","1.67","11","17","23","2","28","1","1","0%"
"Kyle Zimmer","KC","SP,RP","20.6","20","0","0","1","4.86","1.48","11","20","10","3","19","1","1","0%"
"Miguel Diaz","SD","RP","32.1","35","0","0","1","4.64","1.50","17","29","19","4","22","2","2","0%"
"Nick Burdi","PIT","RP","24.1","25","0","0","1","4.76","1.47","13","24","11","3","26","1","1","0%"
"Jeanmar Gomez","","RP","23.6","18","0","0","1","4.50","1.45","12","26","9","3","22","1","1","0%"
"Drew Storen","KC","RP","27.2","21","0","0","1","4.77","1.41","14","29","9","3","28","1","2","0%"
"Jackson Stephens","CIN","RP","39.5","32","0","0","1","4.94","1.47","22","42","15","7","20","2","2","0%"
"Jorge Lopez","KC","RP","96.4","76","0","0","1","5.01","1.51","54","105","41","12","32","5","7","0%"
"Yacksel Rios","PHI","RP","31.1","31","0","0","1","4.80","1.45","17","30","16","5","28","1","2","0%"
"Yefry Ramirez","BAL","SP,RP","58.8","53","0","0","1","5.14","1.45","34","59","27","13","25","2","5","0%"
"Junichi Tazawa","CHC","RP","35.4","31","0","0","1","5.16","1.46","20","38","14","7","36","2","2","0%"
"Gabriel Ynoa","BAL","SP,RP","49.2","30","0","0","1","5.16","1.43","28","57","13","9","22","2","3","0%"
"Javy Guerra","TOR","RP","38.8","32","0","0","1","4.86","1.52","21","40","19","6","34","2","2","0%"
"Tanner Rainey","WSH","SP,RP","28.4","33","0","0","1","5.03","1.63","16","24","22","4","30","2","2","0%"
"Brock Stewart","LAD","SP,RP","31.1","26","0","0","1","5.08","1.50","18","36","11","6","16","2","2","0%"
"Jimmy Yacabonis","BAL","RP","57.0","43","0","0","1","4.99","1.49","32","57","28","9","24","2","4","0%"
"Brandon Maurer","PIT","RP","34.3","32","0","0","1","5.20","1.56","20","36","18","5","38","2","2","0%"
"Jake Jewell","LAA","SP,RP","25.0","19","0","0","1","4.87","1.54","14","27","12","4","27","1","1","0%"
"Keury Mella","CIN","RP","41.1","32","0","0","1","5.21","1.54","24","45","19","7","13","2","3","0%"
"Kyle McGowin","WSH","SP,RP","40.0","34","0","0","1","5.70","1.53","25","45","16","10","18","2","3","0%"
"Jimmy Cordero","WSH","RP","26.5","22","0","0","1","4.87","1.61","14","27","16","4","28","1","2","0%"
"Ryan Burr","CWS","RP","31.5","28","0","0","1","5.02","1.57","18","31","18","4","25","1","2","0%"
"Jesus Reyes","CIN","SP,RP","48.5","34","0","0","1","5.07","1.60","27","52","26","9","29","3","3","0%"
"Luke Farrell","TEX","RP","35.1","34","0","0","1","5.40","1.60","21","38","18","7","21","2","2","0%"
"Pedro Araujo","BAL","RP","30.5","31","0","0","1","5.73","1.55","19","30","17","6","25","1","2","0%"
"Chris Lee","BAL","SP,RP","27.8","17","0","0","1","5.05","1.63","16","31","14","4","15","1","2","0%"
"Sean Gilmartin","BAL","RP","30.4","21","0","0","1","5.48","1.52","19","35","11","6","17","1","2","0%"
"Taylor Guerrieri","TEX","RP","37.5","23","0","0","1","5.71","1.56","24","43","15","9","20","2","2","0%"
