"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Own"
"Thyago Vieira","CWS","RP","32.1","30","0","0","4","5.32","1.55","19","32","17","4","28","2","2","0%"
"Neftali Feliz","","SP,RP","56.6","50","0","0","4","5.40","1.58","34","57","33","13","40","3","4","0%"
"Harrison Musgrave","COL","SP,RP","37.5","29","0","0","4","5.66","1.56","24","41","17","8","29","2","2","0%"
"Josh Osich","CWS","RP","24.8","20","0","0","4","5.71","1.67","16","29","12","4","28","1","1","0%"
"Ryan Cook","","RP","41.2","42","0","0","4","4.48","1.52","21","40","23","6","45","2","3",""
"Will Smith","SF","RP","59.0","76","24","7","5","2.96","1.14","19","47","21","5","61","3","3","75%"
"Matt Strahm","SD","SP,RP","89.4","101","1","0","5","3.68","1.26","37","80","33","10","54","5","5","22%"
"Ryne Stanek","TB","SP,RP","53.1","68","1","0","5","3.65","1.27","22","43","24","6","51","3","2","2%"
"Ryan Madson","","RP","50.1","50","2","0","5","3.52","1.19","20","45","14","5","50","3","3","0%"
"Jonathan Holder","NYY","RP","55.0","55","1","0","5","3.66","1.22","22","51","16","7","53","3","2","1%"
"Jordan Lyles","PIT","SP,RP","92.4","79","0","0","5","4.36","1.36","45","95","31","11","39","4","6","0%"
"Victor Arano","PHI","RP","39.6","41","0","0","5","3.74","1.27","16","37","13","7","42","2","2","1%"
"Ryan Dull","OAK","RP","36.5","37","1","0","5","4.13","1.22","17","33","12","5","38","2","1","0%"
"Chasen Shreve","STL","RP","40.3","48","1","0","5","4.10","1.39","18","36","20","6","41","2","2","0%"
"Nick Goody","CLE","RP","33.3","39","0","0","5","4.20","1.27","16","30","12","6","33","2","1","0%"
"Steven Wright","BOS","SP,RP","55.2","43","0","0","5","4.33","1.38","27","55","21","9","37","3","3","1%"
"Hunter Wood","TB","RP","38.6","40","0","0","5","4.09","1.38","18","38","16","6","32","2","2","0%"
"Dan Altavilla","SEA","RP","33.6","38","1","0","5","4.06","1.40","15","29","18","4","30","2","2","0%"
"Tyler Duffey","MIN","RP","33.9","30","0","0","5","4.52","1.32","17","35","10","5","30","2","2","0%"
"Victor Alcantara","DET","RP","49.0","37","0","0","5","4.23","1.40","23","50","19","5","46","2","3","0%"
"Joe Biagini","TOR","SP,RP","61.2","48","0","0","5","4.77","1.43","32","67","20","9","52","3","4","0%"
"Xavier Cedeno","CHC","RP","22.2","21","0","0","5","3.63","1.37","9","21","10","2","33","1","1","0%"
"Jarlin Garcia","MIA","SP,RP","64.9","45","0","0","5","4.91","1.41","35","67","24","10","51","3","4","0%"
"Drew Rucinski","","RP","37.3","27","0","0","5","4.50","1.38","19","39","12","4","28","2","2","0%"
"Mike Mayers","STL","RP","28.4","26","0","0","5","4.50","1.41","14","30","10","4","31","1","1","0%"
"Reymin Guduan","HOU","RP","31.0","35","0","0","5","4.73","1.56","16","29","19","4","30","1","2","0%"
"Williams Jerez","LAA","RP","31.8","31","0","0","5","4.62","1.47","16","32","15","5","33","1","1","0%"
"Brian Duensing","CHC","RP","36.3","28","0","0","5","4.80","1.50","19","37","18","5","44","2","1","0%"
"Matt Magill","MIN","RP","47.5","45","0","0","5","5.04","1.54","27","51","22","8","41","2","3","0%"
"Yency Almonte","COL","RP","34.1","27","0","0","5","5.34","1.56","20","38","15","6","17","2","2","0%"
"Arodys Vizcaino","ATL","RP","59.2","65","26","5","6","3.52","1.25","23","50","24","6","60","3","3","72%"
"John Brebbia","STL","RP","55.2","62","1","0","6","3.59","1.18","22","49","16","8","52","3","2","1%"
"Hunter Strickland","SEA","RP","51.4","47","19","9","6","4.03","1.38","23","49","22","6","51","3","3","21%"
"Emilio Pagan","TB","RP","52.2","57","1","0","6","4.04","1.22","23","47","17","8","43","3","2","0%"
"Tony Cingrani","LAD","RP","36.4","45","1","0","6","3.80","1.25","15","31","14","5","39","2","1","0%"
"Tommy Kahnle","NYY","RP","42.1","54","1","0","6","4.00","1.38","19","37","21","5","45","2","2","0%"
"Luis Avilan","NYM","RP","32.2","36","1","0","6","3.31","1.29","12","27","14","3","39","1","1","0%"
"Dakota Hudson","STL","RP","74.4","56","0","0","6","4.13","1.49","34","77","34","6","53","5","4","3%"
"Luke Gregerson","STL","RP","40.9","42","1","0","6","4.21","1.31","19","40","14","5","47","2","2","0%"
"Joe Smith","HOU","RP","28.8","28","0","0","6","3.78","1.26","12","28","8","5","37","2","2","1%"
"Dominic Leone","STL","RP","40.3","43","0","0","6","4.06","1.35","18","39","15","6","43","2","2","0%"
"Brandon Workman","BOS","RP","41.1","39","0","0","6","4.32","1.35","20","40","15","6","41","3","2","0%"
"Steven Brault","PIT","SP,RP","62.3","56","0","0","6","4.23","1.48","29","60","32","7","39","3","4","0%"
"Danny Barnes","TOR","RP","41.9","41","0","0","6","4.28","1.32","20","39","16","7","41","2","3","0%"
"Aaron Bummer","CWS","RP","39.1","37","0","0","6","3.89","1.43","17","38","17","5","45","2","2","0%"
"Dan Jennings","","RP","35.3","26","0","0","6","3.92","1.38","15","35","14","3","33","2","2","0%"
"Matt Bowman","CIN","RP","27.5","27","0","0","6","4.27","1.38","13","27","11","3","29","1","1","0%"
"Randy Rosario","CHC","RP","43.3","30","1","0","6","4.60","1.56","22","47","21","5","42","2","2","0%"
"David Robertson","PHI","RP","65.7","89","23","10","7","3.03","1.10","22","47","25","7","65","4","3","83%"
"Drew Steckenrider","MIA","RP","63.5","77","19","6","7","3.56","1.29","25","54","28","7","67","3","3","18%"
"Alex Wilson","DET","RP","40.9","29","1","0","7","3.66","1.14","17","36","10","5","35","2","2","0%"
"Greg Holland","ARI","RP","52.4","56","9","1","7","4.26","1.47","25","47","30","6","58","2","3","4%"
"Fernando Rodney","OAK","RP","50.6","54","2","1","7","3.79","1.37","21","45","25","5","50","3","2","5%"
"Dylan Floro","LAD","SP,RP","56.3","47","0","0","7","3.79","1.38","24","60","18","6","49","3","3","0%"
"Matt Grace","WSH","RP","51.3","41","1","0","7","3.73","1.32","21","52","15","5","50","2","2","0%"
"Bud Norris","TOR","RP","48.5","55","1","0","7","4.09","1.34","22","45","19","7","50","2","3","4%"
"Trey Wingenter","SD","RP","49.7","64","1","0","7","4.10","1.37","23","40","28","6","53","2","2","0%"
"Jacob Barnes","MIL","RP","45.0","46","1","0","7","3.72","1.36","19","41","20","4","43","2","2","0%"
"Robert Stock","SD","SP,RP","51.9","51","0","0","7","3.59","1.40","21","51","21","6","48","2","3","0%"
"Tim Mayza","TOR","RP","51.3","59","0","0","7","4.18","1.43","24","50","23","6","52","3","2","0%"
"Tyler Olson","CLE","RP","34.9","42","1","0","7","3.94","1.34","15","33","14","5","47","2","2","0%"
"David Phelps","TOR","SP,RP","40.3","43","0","0","7","3.94","1.37","18","38","17","5","37","2","2","0%"
"Drew VerHagen","DET","RP","54.5","50","0","0","7","4.45","1.33","27","53","20","6","43","3","2","0%"
"Bobby Poyner","BOS","RP","41.2","39","1","0","7","4.19","1.29","19","42","11","6","41","2","1","0%"
"Tanner Scott","BAL","SP,RP","51.0","69","1","0","7","4.17","1.51","24","46","31","4","53","2","3","0%"
"Chasen Bradford","SEA","RP","49.0","36","1","0","7","4.48","1.39","24","54","14","6","45","3","2","0%"
"Aaron Loup","SD","RP","32.6","36","0","0","7","3.66","1.39","13","32","13","3","35","1","1","0%"
"Taylor Williams","MIL","RP","46.0","50","1","0","7","4.23","1.47","22","46","22","6","49","2","2","0%"
"Buck Farmer","DET","RP","60.6","55","0","0","7","4.67","1.46","31","61","27","9","59","3","4","0%"
"Brian Flynn","KC","RP","60.1","43","1","0","7","4.41","1.52","29","65","26","5","41","2","4","0%"
"Fernando Romero","MIN","SP,RP","67.4","54","1","0","7","4.35","1.40","33","70","24","9","39","3","4",""
"Jose Alvarado","TB","RP","60.0","74","27","10","8","2.94","1.24","20","45","29","4","66","3","3","72%"
"Trevor May","MIN","SP,RP","59.6","73","16","4","8","3.85","1.24","26","55","19","7","59","3","3","39%"
"Tyler Clippard","CLE","RP","40.5","48","3","1","8","4.16","1.25","19","34","16","9","51","2","2","1%"
"Cory Gearrin","SEA","RP","51.6","50","1","0","8","3.89","1.32","22","47","21","6","53","2","2","0%"
"Shawn Kelley","TEX","RP","44.4","46","1","0","8","4.30","1.20","21","40","13","8","46","2","2","1%"
"Zach Duke","CIN","RP","39.9","39","0","0","8","3.86","1.41","17","39","17","4","50","2","2","0%"
"Matt Albers","MIL","RP","46.7","43","0","0","8","4.39","1.34","23","47","15","8","54","3","2","0%"
"Louis Coleman","DET","RP","51.1","44","1","0","8","4.11","1.39","23","46","25","6","53","2","3","0%"
"Sam Freeman","ATL","RP","41.1","45","1","0","8","3.85","1.47","18","36","25","4","43","2","2","0%"
"Jerry Blevins","OAK","RP","30.4","32","0","0","8","4.17","1.37","14","27","14","4","38","2","2","0%"
"Chris Rusin","COL","RP","52.1","43","0","0","8","4.40","1.39","25","54","19","6","45","2","3","0%"
"Tyler Thornburg","BOS","RP","49.0","48","2","0","8","4.93","1.44","27","49","21","8","51","3","2","0%"
"Wandy Peralta","CIN","RP","40.2","32","0","0","8","4.53","1.56","20","41","22","4","44","1","2","0%"
"Mike Dunn","COL","RP","37.6","37","0","0","8","5.60","1.64","23","39","23","7","45","2","2","0%"
"Archie Bradley","ARI","RP","66.1","72","21","8","9","3.52","1.24","26","59","23","7","70","3","3","70%"
"Sergio Romo","MIA","SP,RP","59.9","65","7","1","9","3.90","1.23","26","55","19","8","63","3","3","14%"
"Phil Maton","SD","RP","52.5","59","1","0","9","4.06","1.38","24","51","22","7","51","2","2","0%"
"Drew Smith","NYM","RP","45.4","37","0","0","9","3.98","1.37","20","45","17","5","46","3","3","0%"
"Koda Glover","WSH","RP","35.7","31","1","0","9","4.21","1.39","17","35","15","5","43","2","2","0%"
"Shane Carle","ATL","RP","41.9","31","0","0","9","4.20","1.38","20","41","17","5","38","2","2","0%"
"Miguel Castro","BAL","RP","71.2","49","1","1","9","4.61","1.49","36","69","37","8","55","3","4","0%"
"Sammy Solis","SD","RP","32.1","34","0","0","9","5.12","1.56","18","35","15","5","43","1","2","0%"
"Corey Knebel","MIL","RP","62.5","95","23","5","10","2.93","1.15","20","44","28","6","63","3","3","82%"
"Anthony Swarzak","SEA","RP","56.3","62","11","1","10","4.02","1.29","25","53","20","8","57","2","3","1%"
"Hector Neris","PHI","RP","54.4","75","1","0","10","3.75","1.23","23","47","20","8","54","3","3","2%"
"Shawn Armstrong","SEA","RP","49.8","56","2","0","10","3.68","1.32","20","43","23","6","55","2","2","0%"
"Jesse Biddle","ATL","RP","52.3","55","0","0","10","3.74","1.37","22","47","25","5","48","3","3","1%"
"Oliver Perez","CLE","RP","31.6","40","0","0","10","3.40","1.20","12","27","11","4","41","2","1","1%"
"Jose Alvarez","PHI","RP","44.6","44","0","0","10","3.82","1.31","19","44","15","5","51","2","2","1%"
"Edubray Ramos","PHI","RP","32.1","34","1","0","10","3.59","1.27","13","29","12","4","35","2","2","0%"
"Hansel Robles","LAA","RP","57.4","60","1","0","10","4.34","1.39","28","53","27","8","53","3","3","0%"
"Michael Feliz","PIT","RP","44.0","53","1","0","10","4.31","1.37","21","41","19","6","42","2","2","0%"
"Daniel Stumpf","DET","RP","42.0","41","0","0","10","4.44","1.42","21","43","16","6","54","2","2","0%"
"Matt Barnes","BOS","RP","62.2","85","16","8","11","3.43","1.27","24","50","29","6","64","4","3","47%"
"Caleb Ferguson","LAD","SP,RP","70.1","77","1","0","11","3.49","1.24","27","62","25","8","44","5","4","1%"
"Jordan Hicks","STL","RP","66.9","64","20","7","11","3.67","1.40","27","57","37","4","66","3","3","59%"
"Blake Parker","MIN","RP","61.5","67","14","2","11","3.86","1.22","26","56","20","9","63","3","3","7%"
"Trevor Rosenthal","WSH","RP","54.1","77","5","1","11","3.25","1.29","20","45","25","5","56","4","3","3%"
"Kelvin Herrera","CWS","RP","58.5","57","14","3","11","3.78","1.24","25","56","17","8","61","3","3","28%"
"Reyes Moronta","SF","RP","52.7","66","1","0","11","3.33","1.29","20","38","30","5","57","3","3","1%"
"Darren O'Day","ATL","RP","46.8","58","1","0","11","3.52","1.15","18","38","16","6","49","2","2","0%"
"Juan Nicasio","PHI","RP","47.7","56","1","0","11","3.92","1.23","21","46","13","6","45","2","3","0%"
"Michael Lorenzen","CIN","RP","74.6","59","1","0","11","4.08","1.40","34","74","30","8","55","3","4","1%"
"Chris Martin","TEX","RP","49.4","46","2","1","11","4.16","1.28","23","53","11","6","50","2","3","0%"
"Adam Morgan","PHI","RP","44.7","47","1","0","11","4.23","1.38","21","45","17","6","48","2","2","0%"
"Adam Kolarek","TB","RP","41.4","32","1","0","11","3.91","1.42","18","44","15","3","46","2","2","0%"
"Juan Minaya","CWS","RP","50.2","59","1","0","11","4.26","1.46","24","47","27","6","51","2","3","0%"
"Jonny Venters","ATL","SP,RP","38.5","33","0","0","11","3.96","1.43","17","36","19","3","51","2","2","0%"
"Tayron Guerrero","MIA","RP","59.1","66","2","1","11","4.52","1.51","30","57","32","7","57","2","3","0%"
"Alex Colome","CWS","RP","62.8","64","13","4","12","3.50","1.23","24","57","20","7","62","3","3","45%"
"Nate Jones","CWS","RP","50.3","56","7","1","12","3.76","1.31","21","45","21","6","50","3","3","1%"
"Pat Neshek","PHI","RP","48.6","45","1","0","12","3.49","1.14","19","45","10","8","56","3","2","3%"
"Alex Claudio","MIL","RP","59.6","41","1","0","12","3.45","1.28","23","63","13","4","53","3","3","0%"
"Jake Diekman","KC","RP","48.6","58","2","0","12","3.78","1.39","20","41","26","4","55","2","2","0%"
"Paul Fry","BAL","RP","58.2","60","1","0","12","3.94","1.41","25","55","27","6","58","2","3","0%"
"Luis Garcia","LAA","RP","42.1","42","1","0","12","3.90","1.36","18","40","17","4","48","2","2","0%"
"Jake McGee","COL","RP","47.1","45","1","0","12","4.66","1.35","24","48","15","8","52","2","2","0%"
"Connor Sadzeck","TEX","RP","45.5","44","1","0","12","4.37","1.58","22","44","28","6","57","2","2","0%"
"Andrew Miller","STL","RP","58.5","78","15","3","13","3.02","1.15","20","46","21","5","58","3","2","75%"
"Diego Castillo","TB","RP","61.0","71","2","0","13","3.26","1.13","22","48","21","6","55","3","3","3%"
"Yusmeiro Petit","OAK","RP","74.7","67","1","0","13","3.81","1.15","32","69","17","11","61","4","4","2%"
"Justin Wilson","NYM","RP","47.4","62","1","0","13","3.39","1.32","18","37","25","5","53","3","3","1%"
"Mark Melancon","SF","RP","54.1","46","7","2","13","3.50","1.33","21","56","16","4","55","2","3","4%"
"Scott Oberg","COL","RP","58.0","57","1","0","13","3.81","1.32","25","57","19","6","60","3","3","1%"
"Jose Castillo","SD","RP","40.2","51","1","0","13","3.47","1.21","16","33","16","4","44","2","2","1%"
"Justin Miller","WSH","RP","52.0","58","1","0","13","4.13","1.27","24","48","18","8","53","3","3","1%"
"Cam Bedrosian","LAA","RP","54.6","54","1","0","13","3.87","1.35","24","52","22","6","59","3","3","0%"
"Richard Bleier","BAL","RP","59.6","31","1","0","13","3.70","1.35","25","68","13","5","56","3","3","0%"
"James Pazos","PHI","RP","40.9","41","0","0","13","3.65","1.31","17","37","16","5","46","2","2","0%"
"Neil Ramirez","CLE","RP","48.4","61","1","0","13","4.71","1.36","25","43","23","9","51","2","2","0%"
"Bryan Shaw","COL","RP","54.6","52","1","0","13","4.53","1.46","27","57","23","7","56","3","3","0%"
"Chad Green","NYY","RP","69.1","88","1","0","14","3.04","1.09","23","56","19","8","61","4","3","24%"
"Jesse Chavez","TEX","RP","86.7","81","2","0","14","4.11","1.26","40","86","24","13","67","4","4","2%"
"Hector Rondon","HOU","RP","57.2","65","2","1","14","3.53","1.24","22","52","18","7","59","3","3","2%"
"David Hernandez","CIN","RP","62.4","64","1","0","14","3.65","1.20","25","56","19","8","60","3","3","1%"
"Pedro Baez","LAD","RP","56.3","62","1","0","14","3.58","1.25","22","48","22","7","56","3","3","1%"
"Robert Gsellman","NYM","RP","69.8","59","1","0","14","4.01","1.31","31","68","24","7","60","4","4","1%"
"Sam Dyson","SF","RP","62.1","49","2","1","14","3.71","1.31","26","59","22","5","62","3","4","1%"
"Addison Reed","MIN","RP","60.5","53","2","1","14","4.25","1.28","29","62","16","9","61","3","3","1%"
"Kyle Barraclough","WSH","RP","56.4","64","3","1","14","3.96","1.40","25","46","33","6","59","3","3","1%"
"Andrew Chafin","ARI","RP","47.1","53","1","0","14","3.46","1.36","18","42","22","4","60","2","2","0%"
"Adam Conley","MIA","RP","63.7","56","4","1","14","4.28","1.35","30","60","26","7","62","3","4","1%"
"Tim Hill","KC","RP","47.5","44","2","0","14","4.07","1.36","21","47","17","5","59","2","2","0%"
"Brandon Kintzler","CHC","RP","48.4","33","1","0","14","4.06","1.36","22","51","15","5","50","2","2","1%"
"Seranthony Dominguez","PHI","SP,RP","66.3","84","11","1","15","3.18","1.15","23","48","28","6","64","4","3","40%"
"Ryan Brasier","BOS","RP","59.2","56","17","4","15","3.52","1.18","23","53","17","8","62","3","3","20%"
"Trevor Hildenberger","MIN","RP","60.7","59","4","2","15","4.04","1.28","27","59","18","7","59","3","3","1%"
"Jace Fry","CWS","RP","52.4","66","2","1","15","3.90","1.29","23","45","23","5","60","2","2","1%"
"Adam Cimber","CLE","RP","60.9","49","1","0","15","3.91","1.29","26","63","16","8","64","3","4","1%"
"Brad Brach","CHC","RP","53.1","54","2","1","15","3.83","1.37","23","50","23","6","57","3","3","2%"
"Wily Peralta","KC","RP","60.6","56","10","1","15","4.73","1.52","32","62","30","8","54","2","3","8%"
"Seth Lugo","NYM","SP,RP","82.1","80","1","0","16","3.60","1.19","33","75","23","11","55","4","4","8%"
"Pedro Strop","CHC","RP","59.9","62","11","4","16","3.22","1.20","21","48","23","6","63","3","3","53%"
"A.J. Minter","ATL","RP","59.1","69","9","2","16","3.35","1.25","22","52","22","6","64","3","3","48%"
"Jeremy Jeffress","MIL","RP","62.6","66","6","1","16","3.22","1.27","22","55","24","6","64","4","3","35%"
"Chris Devenski","HOU","RP","58.5","66","1","0","16","3.55","1.11","23","48","17","8","54","4","3","3%"
"Will Harris","HOU","RP","56.5","62","1","0","16","3.35","1.15","21","50","15","6","61","3","2","1%"
"Seunghwan Oh","COL","RP","61.7","67","3","0","16","3.95","1.22","27","58","17","10","64","3","3","3%"
"Ty Buttrey","LAA","RP","59.8","66","5","1","16","3.73","1.32","25","54","24","6","59","3","3","2%"
"Jared Hughes","CIN","RP","66.6","52","2","0","16","3.54","1.30","26","63","24","6","66","3","3","2%"
"Ryan Buchter","OAK","RP","46.1","49","1","0","16","3.64","1.24","19","37","20","6","54","3","2","1%"
"Heath Hembree","BOS","RP","57.3","66","1","0","16","4.07","1.34","26","55","23","8","59","3","3","1%"
"Craig Stammen","SD","RP","75.4","79","2","0","17","3.38","1.20","28","68","22","8","69","4","4","3%"
"Taylor Rogers","MIN","RP","60.1","64","2","0","17","3.28","1.19","22","54","18","6","64","3","2","3%"
"Joakim Soria","OAK","RP","59.2","67","4","1","17","3.42","1.21","22","52","19","5","63","3","3","3%"
"Ryan Tepera","TOR","RP","64.5","69","4","1","17","3.96","1.29","28","57","26","8","65","3","3","1%"
"Scott Alexander","LAD","RP","55.9","50","1","0","17","3.34","1.32","21","51","23","4","55","3","2","1%"
"Dan Winkler","ATL","RP","50.6","58","0","0","17","3.71","1.26","21","46","18","5","54","2","2","1%"
"Kyle Crick","PIT","RP","53.3","56","1","0","17","3.70","1.38","22","46","27","5","57","3","2","1%"
"Kevin McCarthy","KC","RP","62.6","42","2","0","17","4.10","1.40","29","67","20","6","55","3","3","0%"
"Justin Anderson","LAA","RP","56.5","63","1","1","17","4.13","1.50","26","50","35","6","57","3","3","0%"
"Josh Hader","MIL","RP","75.7","123","10","2","18","2.65","1.04","22","46","32","9","68","4","3","89%"
"Ryan Pressly","HOU","RP","64.9","82","2","0","18","3.20","1.16","23","54","21","7","68","3","3","7%"
"Keone Kela","PIT","RP","57.6","74","3","0","18","3.19","1.15","20","44","22","5","60","3","3","10%"
"Zack Britton","NYY","RP","56.4","52","3","1","18","3.10","1.29","19","49","24","4","58","3","2","26%"
"Tommy Hunter","PHI","RP","57.1","52","1","0","18","3.79","1.24","24","56","15","7","58","3","3","1%"
"Amir Garrett","CIN","RP","63.1","68","1","0","19","4.44","1.37","31","58","28","9","62","3","3","1%"
"Dellin Betances","NYY","RP","65.0","104","3","1","20","2.68","1.11","19","43","29","6","67","4","3","65%"
"Jeurys Familia","NYM","RP","63.6","71","4","1","20","3.25","1.25","23","53","26","4","65","4","4","30%"
"Lou Trivino","OAK","RP","67.9","73","2","0","20","3.43","1.27","26","57","29","6","67","4","3","5%"
"Steve Cishek","CHC","RP","56.4","61","2","0","20","3.26","1.19","20","45","22","6","61","3","2","7%"
"Carl Edwards Jr.","CHC","RP","55.8","74","2","0","20","3.37","1.31","21","39","34","5","61","3","3","6%"
"Joe Jimenez","DET","RP","61.4","73","4","0","20","3.94","1.26","27","55","23","7","67","3","3","6%"
"Chaz Roe","TB","RP","48.0","53","2","1","21","3.57","1.20","19","39","18","5","54","2","2","2%"
"Adam Ottavino","NYY","RP","65.2","89","3","1","22","3.41","1.22","25","47","32","8","66","4","3","27%"
"Joe Kelly","LAD","RP","61.4","65","2","1","22","3.52","1.31","24","53","27","5","65","3","3","3%"
"Yoshihisa Hirano","ARI","RP","60.1","55","4","1","22","3.65","1.26","24","54","22","7","63","3","3","6%"
"Tony Watson","SF","RP","61.7","61","2","0","24","3.25","1.17","22","56","17","6","66","3","3","5%"
""
""
